Country Name,Country Code,Series Name,Series Code,Scale (Precision),1990 [YR1990],2000 [YR2000],2010 [YR2010],2016 [YR2016]
World,WLD,"Population, total",SP.POP.TOTL,Millions (0.00),5284.89,6118.08,6930.66,7442.14
World,WLD,Population growth (annual %),SP.POP.GROW,Unit (0.0),1.7,1.3,1.2,1.2
World,WLD,Surface area (sq. km),AG.SRF.TOTL.K2,Thousands (0.0),134042.4,134112.3,134311.4,134325.1
World,WLD,Population density (people per sq. km of land area),EN.POP.DNST,Unit (0.0),40.7,47.1,53.4,57.4
World,WLD,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,Unit (0.0),,,,
World,WLD,Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),SI.POV.DDAY,Unit (0.0),34.8,28.0,15.6,10.7
World,WLD,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,Billions (0.00),22209.23,33503.12,65031.66,76671.79
World,WLD,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,Unit (0),4202,5476,9383,10302
World,WLD,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,Billions (0.00),28391.07,48133.41,88652.47,119781.88
World,WLD,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,Unit (0),5372,7867,12791,16095
World,WLD,Income share held by lowest 20%,SI.DST.FRST.20,Unit (0.0),,,,
World,WLD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Unit (0),65,68,70,..
World,WLD,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Unit (0.0),3.3,2.7,2.5,2.5
World,WLD,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,Unit (0),65,56,47,..
World,WLD,"Contraceptive prevalence, any methods (% of women ages 15-49)",SP.DYN.CONU.ZS,Unit (0),59,60,..,..
World,WLD,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Unit (0),..,63,..,..
World,WLD,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,Unit (0),91,76,52,..
World,WLD,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,Unit (0.0),24.8,20.9,16.5,14.0
World,WLD,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,Unit (0),74,72,85,..
World,WLD,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,Unit (0),81,80,91,..
World,WLD,"School enrollment, primary (% gross)",SE.PRM.ENRR,Unit (0.0),99.9,98.5,105.3,104.3
World,WLD,"School enrollment, secondary (% gross)",SE.SEC.ENRR,Unit (0),51,60,71,..
World,WLD,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS,Unit (0),1,1,1,..
World,WLD,"Prevalence of HIV, total (% of population ages 15-49)",SH.DYN.AIDS.ZS,Unit (0.0),0.3,0.8,0.8,0.8
